formula,source,is_train,m,V,Tmax
F1S1Sm1,PhononDB,0,18.408681186624328,17.518462066282762,1000
Cl1K1,PhononDB,0,18.59326436829405,32.695704285510885,1000
Mn2O4Ti1,FactSage,1,15.074344821294565,12.129714945260954,1000
Fe2N1,FactSage,1,11.198069073479962,9.40308837254199,900
Cd1F2,FactSage,0,16.251725143784842,13.808390545507276,1300
S2Ti1,FactSage,1,19.20201364910174,21.63543402021904,900
Be2C1,FactSage,1,5.148799976492281,6.754584153339484,1800
Pd1Te1,FactSage,1,58.0257755747372,22.085644344372007,1000
O1Pd1,FactSage,0,13.908385010872461,13.09122286242518,1300
As1Na1Sr1,PhononDB,0,25.396853492114214,27.66240575861825,1000
Br2Co1,FactSage,1,33.917409619806854,27.85646285377546,600
F2Ni1,FactSage,1,14.352619355588336,11.49630697083407,1600
I2V1,FactSage,1,36.35001714407698,34.87393411717276,1000
I1K1,FactSage,0,29.88955569476943,46.37164868731082,1800
Cs1F3Yb1,PhononDB,0,28.53050049989377,18.36538084645518,1000
Fe1O4V2,FactSage,1,15.368254733651964,11.1874582357744,1800
Mo2S3,FactSage,1,24.032780750751918,16.795106882237693,1800
Cl4K2Pd1,PhononDB,0,23.593367112578754,30.868289964838404,1000
Hf1N1,FactSage,1,12.987525931613373,11.679635771872842,1800
O1Ti1,FactSage,1,11.991333154835718,10.879546615088513,1200
H1Li1,FactSage,0,0.8801313810394845,8.103876753584606,1400
Ac1Cl1O1,PhononDB,0,18.878057750699675,21.841019632861123,1000
Ho2O2Se1,PhononDB,0,25.84391136817268,17.263846651175808,1000
Cd1S1,FactSage,1,24.94849466347352,26.215715710903954,1400
Br1F1Sr1,PhononDB,0,24.25139034662233,22.66241318950891,1000
Sn1Te1,FactSage,1,61.49728391051926,33.033413130045915,1200
F3Ti1,FactSage,1,13.600405029403904,15.413101679922946,1300
F1Na1,FactSage/PhononDB,1,10.402189008451307,12.946805309381414,1200
I2Sr1,FactSage,1,51.83264017107232,44.541874756873895,1400
Br1Li3O1,PhononDB,0,7.156902448577963,12.856394491192301,1000
Cr2Fe1O4,FactSage,1,15.454872689395506,11.142506975181663,1800
Mg1Te1,FactSage/PhononDB,1,20.416167999736675,34.56545387713925,1400
I3La1,FactSage,1,66.31702731075785,44.1290542335602,1000
Cd1Se1,FactSage/PhononDB,1,46.38096973940671,29.9763980509103,1600
Ba1Te1,PhononDB,0,66.14246641527664,44.54554727819761,1000
In2Te3,FactSage,1,60.43601052727107,37.951780838917756,900
I2Pb1,FactSage,1,78.70174913852544,49.91046809409653,900
O1Sr1,FactSage/PhononDB,1,13.52900545650718,17.63845740351329,1800
Ca1I2,FactSage/PhononDB,1,30.458750242824895,48.05254568976333,1400
Br3La1,FactSage/PhononDB,1,50.72496485129278,32.2624607282742,1000
In1N1,FactSage,1,12.483796046876106,16.10373063205962,1400
Br2Mg1,FactSage,1,18.636266733199626,30.609178517625605,1400
Br5W1,FactSage,1,55.69624848337782,35.92947811408118,900
Al1N1,FactSage/PhononDB,1,9.220262436664452,10.63182084071048,1800
Ni1P2,FactSage,1,20.274483568140585,13.510947495824865,1000
Cu1F2,FactSage,1,14.625734549464884,11.822873983716786,1800
C6Cr23,FactSage,1,9.75692517466894,10.14604527774239,1800
As1Mg1Na1,PhononDB,0,15.919301344875414,23.4697508260068,1000
I4Pt1,FactSage,0,76.88794454497081,37.56550198909351,600
I2Pd1,FactSage,1,57.88151451667286,36.5405537985367,800
C2Mg1,FactSage,1,8.03839836489452,12.973609948845045,1800
Br3Zr1,FactSage,1,42.594797438174936,38.21398698094531,1800
Al4C3,FactSage,1,8.311068492051643,11.652014164258196,1800
Cl3Cr1,FactSage,1,21.079893713028493,26.17019916326485,1200
O2Se1Sm2,PhononDB,0,25.30707763436764,18.938004390490388,1000
Cu1Fe1O2,FactSage,1,16.887553414373752,11.739259883686845,1000
O3V2,FactSage,1,12.175417944784133,10.969782886617997,1800
Ca1O1,FactSage,1,11.434623452585175,14.166047751533865,1800
Fe4N1,FactSage,0,11.19806907347996,10.93775679024702,700
Te1Yb1,PhononDB,0,73.44300159659393,32.16577603639932,1000
Br6W1,FactSage,1,55.69624848337782,35.21705956942484,900
Bi1I3,FactSage,1,78.95725372324155,51.137409149053276,600
F1K1,PhononDB,0,12.785669873166913,19.946436941077767,1000
Cr2Mg1O4,FactSage,1,12.238431217160851,10.93059455881856,1800
Cr1I2,FactSage,0,36.88382609718347,37.86915683021664,1000
Cl2V1,FactSage,1,20.90444414285632,23.47424550045749,1300
Mg3Sb2,FactSage,1,20.260683942080586,26.69484179373703,1100
Cu1Te1,FactSage,1,42.42029443462066,23.01345575588893,700
Fe3P1,FactSage,1,19.923455472562488,11.218358860220835,1800
Co1F2,FactSage,1,14.366914401021788,12.103896202950926,1800
As2Cd3,FactSage,1,44.957535301383736,27.13088841648624,900
Ca1F2,FactSage,1,12.888699416446528,13.986329012668135,1400
Cl1Ho1O1,PhononDB,0,18.26311289752454,16.931115349083914,1000
O2S1Sm2,PhononDB,0,16.915027158314285,18.001220292396454,1000
N1Ti1,FactSage,1,10.835923969311681,9.61964894212233,1800
N2Se1Th2,PhononDB,0,26.526453842987188,20.409608017718888,1000
Cl1F1Sr1,PhononDB,0,17.741018770122405,20.453307297421613,1000
H1K1,FactSage/PhononDB,1,0.9826087038326208,23.104585125414662,1400
I2Mn1,FactSage,1,38.340227991023724,36.111956095691426,900
Hf1O2,FactSage/PhononDB,0,14.68323161056592,11.688510218639884,1800
I3Zr1,FactSage,1,53.07300496482647,47.64990540445573,1800
Sb1Zn1,FactSage,1,42.55084891194589,25.29272995569051,800
Cl2Ti1,FactSage,1,20.367603828612573,24.509598827914964,1500
O3W1,FactSage,1,14.718467409329689,14.419356624763193,1000
Ca1O3Zr1,FactSage,1,15.587621846005169,13.313092035866875,1800
C3Mn7,FactSage,1,9.855963350492981,8.892413564791218,1800
Cu3Ta1Te4,PhononDB,0,53.70103549285089,26.83355004559056,1000
Ga1Sb1,FactSage,1,44.335384760004814,30.06663719404004,900
C2Ca1,FactSage,1,9.241252605651514,16.404163319229156,700
Mg1O3Ti1,FactSage,1,11.879803849123785,10.558039053567981,1800
Na1O3V1,FactSage,1,11.811921549732535,15.036373932171028,600
Li3Nb1S4,PhononDB,0,11.5602535993959,28.44365296061355,1000
Ca1Mg2N2,PhononDB,0,11.20704561072131,13.431576528898807,1000
H2La1,FactSage,1,1.000678772905328,15.071274991149249,1100
Cu1O1,FactSage,1,12.781353445956647,11.121911866137523,1800
N2Zn3,FactSage,0,11.5363113376826,11.980353224531422,800
Ba1I2,FactSage,0,65.95508911822654,44.18897935504774,1400
Ca2I6Sr1,PhononDB,0,38.27761436271741,44.699166939353866,1000
F3Y1,FactSage,1,15.653406932978244,12.676273028421946,1300
C1W2,FactSage,1,11.27413426656121,12.685549741531913,1800
Al2Fe1O4,FactSage,0,12.644321094316735,9.997832619689882,1800
F2Mn1,FactSage,0,14.116652278270301,13.804399011493823,1000
F3Ga1,FactSage,1,14.930170382084308,12.400747290930575,1800
C1Zr1,FactSage,1,10.61333153290512,13.180545089358704,1800
Be1Te1,PhononDB,0,8.417656510310332,22.752755969329467,1000
N2S1Zr2,PhononDB,0,14.899114265846707,14.883448510392235,1000
Be1Li1P1,PhononDB,0,5.524124886682753,13.02163245363274,1000
C1Mo2,FactSage,1,10.674377822468962,12.618100036439445,1500
Al1As1,FactSage/PhononDB,1,19.83746595194429,23.562830288974318,1800
Cs1I1,FactSage,0,64.91782842678262,60.67940134831294,1500
C1W1,FactSage,1,11.27413426656121,10.593161446630523,1800
O1Yb1,PhononDB,0,14.645286516990636,13.388535302691952,1000
Br2Pb1,FactSage,1,57.665893892108784,39.544825977276396,900
Mg2Sb2Yb1,PhononDB,0,35.93874711492284,28.67978283268705,1000
Al2Ca1O4,FactSage,1,11.843701024436513,13.187453916411572,1800
Ba1Br1H1,PhononDB,0,17.502973466891802,26.162445388931943,1000
Co1Sb3,FactSage,1,39.71209775332159,23.66749217442555,1100
I3Mo1,FactSage,0,54.635481202652215,48.00250181185972,900
